ID,Category,Nr,V/H,Description,Valence,Arousal,Width,Height,Luminance,Contrast
Objects_127_h,Objects,127,h,Dustbin,3.66,5.38,1600,1200,97.27,66.51
Objects_131_h,Objects,131,h,Knives,4.71,5.37,1600,1200,175.9,78.03
Objects_132_h,Objects,132,h,Straps,2.88,6.76,1600,1200,131.23,86.4
Objects_137_h,Objects,137,h,Guns,3.87,5.87,1600,1200,152.26,79.02
Objects_139_h,Objects,139,h,Doll Head,2.08,6.64,1600,1200,81.15,66.38
Objects_143_h,Objects,143,h,Guns And Knives,3.91,6.13,1600,1200,140.49,87.16
Objects_145_h,Objects,145,h,Coffins,3.47,5.16,1600,1200,112.69,69.34
Objects_147_v,Objects,147,v,Knife,4.9,5.45,1200,1600,141.8,33.54
Objects_148_h,Objects,148,h,Guns And Handcuffs,3.39,6.7,1600,1200,152.09,69.72
Objects_149_h,Objects,149,h,Blood,2.28,7.18,1600,1200,133.66,44.55
Objects_154_h,Objects,154,h,Blood,3.32,6.22,1600,1200,158.49,71.07
Objects_285_h,Objects,285,h,Crashed Motorcycle,2.73,6.53,1600,1200,67.96,44.7
Objects_328_h,Objects,328,h,Pig,3.78,6.27,1600,1200,93.5,80.78
People_002_v,People,2,v,Car Crash,2.96,6.4,1200,1600,124.7,71.31
People_003_h,People,3,h,Car Crash,2.6,7.11,1600,1200,72.74,69.95
People_007_h,People,7,h,Car Crash,3.15,6.45,1600,1200,58.59,61.38
People_010_h,People,10,h,Accident,3.37,6.14,1600,1200,99.71,61.47
People_013_v,People,13,v,Car Crash,2.53,6.65,1200,1600,89.27,66.56
People_019_v,People,19,v,Broken Leg,2.8,6.43,1200,1600,132.67,73.25
People_020_h,People,20,h,Car Crash,2.43,6.78,1600,1200,69.02,51.15
People_022_h,People,22,h,Car Crash,2.13,6.48,1600,1200,106.36,56.17
People_023_h,People,23,h,Accident,3.06,7.33,1600,1200,105.33,66.69
People_024_v,People,24,v,Butcher,3.91,5.81,1200,1600,144.52,66.54
People_025_v,People,25,v,Butcher,3.43,6.31,1200,1600,74.44,42.53
People_031_v,People,31,v,Burns,2.28,6.92,1200,1600,70.87,48.38
People_034_h,People,34,h,Infant,4.29,6.62,1600,1200,100.64,61.1
People_036_h,People,36,h,Infant In Incubator,4.77,5.73,1600,1200,128.35,67.84
People_037_h,People,37,h,Infant In Incubator,3.65,6.92,1600,1200,130.82,52.1
People_038_h,People,38,h,Assault,1.73,8.05,1600,1200,124.25,66.33
People_039_v,People,39,v,Starved Child,2.76,6.49,1200,1600,117.71,44.57
People_040_h,People,40,h,Infant In Incubator,4.36,6.69,1600,1200,139.87,72.0
People_042_h,People,42,h,Child,5.31,5.32,1600,1200,59.49,61.76
People_053_h,People,53,h,Child,4.17,5.94,1600,1200,131.69,65.68
People_057_h,People,57,h,Marketplace,4.47,5.74,1600,1200,54.67,51.03
People_058_h,People,58,h,Butcher,3.11,6.57,1600,1200,120.5,60.63
People_059_v,People,59,v,Butcher Woman,4.38,5.75,1200,1600,100.01,59.12
People_060_v,People,60,v,Butcher Woman,4.27,5.76,1200,1600,71.54,60.82
People_062_v,People,62,v,Butcher,3.83,5.78,1200,1600,94.99,53.17
People_064_h,People,64,h,Fruit Stall,6.5,4.13,1600,1200,91.68,58.73
People_070_v,People,70,v,Gun,3.45,6.67,1200,1600,37.79,59.93
People_071_h,People,71,h,Man With Gun,3.35,6.31,1600,1200,126.75,87.92
People_072_v,People,72,v,Knuckle Duster,3.38,6.24,1200,1600,103.58,72.9
People_073_v,People,73,v,Man With Gun,3.95,6.56,1200,1600,141.24,65.78
People_074_v,People,74,v,Soldier,3.88,6.42,1200,1600,94.65,69.51
People_075_v,People,75,v,Swastika,2.75,6.63,1200,1600,71.6,40.65
People_076_h,People,76,h,Gun,4.43,5.96,1600,1200,61.58,55.97
People_077_v,People,77,v,Injection,3.11,6.76,1200,1600,160.29,75.28
People_079_h,People,79,h,Scythe,4.08,5.97,1600,1200,157.56,76.19
People_084_h,People,84,h,Soldier,3.23,6.71,1600,1200,135.59,87.09
People_086_h,People,86,h,Soldier,3.06,7.02,1600,1200,90.77,63.73
People_088_v,People,88,v,Soldier,3.24,6.96,1200,1600,97.58,75.12
People_124_h,People,124,h,Police Arresting Someone,3.02,6.35,1600,1200,74.1,62.84
People_127_h,People,127,h,Assault,2.15,7.62,1600,1200,81.43,74.35
People_128_h,People,128,h,Wounded Child,2.23,7.75,1600,1200,82.24,68.66
People_129_h,People,129,h,Wound,3.52,6.08,1600,1200,152.92,59.87
People_140_h,People,140,h,Wounded People,2.42,6.48,1600,1200,100.49,52.93
People_147_h,People,147,h,Patient,3.13,6.22,1600,1200,139.93,60.38
People_155_h,People,155,h,Legs,5.36,5.61,1600,1200,80.12,52.62
People_181_v,People,181,v,Swimming Pool,7.48,4.76,1200,1600,128.94,56.05
People_197_h,People,197,h,Pimple,2.97,5.97,1600,1200,149.71,49.3
People_198_h,People,198,h,Mutilated Leg,1.58,7.56,1600,1200,171.88,62.54
People_199_v,People,199,v,Surgery,2.79,7.13,1200,1600,73.1,37.32
People_200_h,People,200,h,Dead Bodies,2.27,6.93,1600,1200,133.62,67.41
People_201_v,People,201,v,Accident,1.87,7.51,1200,1600,35.93,51.44
People_202_h,People,202,h,Surgery,2.58,7.11,1600,1200,70.16,72.62
People_203_v,People,203,v,Surgery,4.73,6.29,1200,1600,74.67,44.12
People_204_v,People,204,v,Skin Inflammation,2.4,6.78,1200,1600,106.36,62.13
People_205_v,People,205,v,Drowned Man,2.09,7.2,1200,1600,119.22,63.5
People_206_h,People,206,h,Burns,3.36,6.32,1600,1200,124.58,49.85
People_207_v,People,207,v,Burns,3.56,6.59,1200,1600,61.6,65.37
People_208_h,People,208,h,Dead Body,1.85,7.67,1600,1200,107.29,57.65
People_209_v,People,209,v,Surgery,2.73,6.73,1200,1600,103.11,68.89
People_211_v,People,211,v,Mutilated Hand,1.88,7.63,1200,1600,78.32,40.22
People_212_h,People,212,h,Skeletons,3.67,6.57,1600,1200,54.08,60.34
People_213_v,People,213,v,Skin Disease,2.85,6.38,1200,1600,154.6,66.74
People_214_h,People,214,h,Skeletons,3.41,6.42,1600,1200,93.76,62.21
People_215_h,People,215,h,Disease,2.59,6.45,1600,1200,131.57,51.5
People_216_h,People,216,h,Surgery,2.7,7.1,1600,1200,87.96,64.32
People_217_h,People,217,h,Surgery,3.14,6.31,1600,1200,85.22,48.77
People_218_v,People,218,v,Mutilated Hand,1.84,7.52,1200,1600,104.11,62.03
People_220_h,People,220,h,Disease,1.98,7.49,1600,1200,142.14,56.59
People_221_h,People,221,h,Surgery,1.88,7.57,1600,1200,127.89,54.66
People_222_h,People,222,h,Hooked Skin,2.17,7.63,1600,1200,75.51,70.11
People_223_h,People,223,h,Surgery,3.18,6.61,1600,1200,127.47,65.91
People_224_h,People,224,h,Surgery,3.49,6.56,1600,1200,117.37,59.01
People_225_h,People,225,h,Dead Body,2.5,6.82,1600,1200,119.87,62.72
People_226_h,People,226,h,Accident,1.81,7.4,1600,1200,65.2,62.95
People_227_h,People,227,h,Burns,1.86,7.18,1600,1200,131.17,52.26
People_228_h,People,228,h,Surgery,3.71,6.69,1600,1200,96.62,61.28
People_229_h,People,229,h,Surgery,3.9,6.8,1600,1200,127.54,75.28
People_230_h,People,230,h,Surgery,3.43,6.6,1600,1200,82.71,78.38
