ID,Category,Valence,Arousal
Faces_252_h,Faces,7.35,4.54
Faces_253_v,Faces,6.87,4.84
Faces_254_h,Faces,6.85,4.43
Faces_255_v,Faces,5.95,5.11
Faces_256_h,Faces,6.89,4.53
Faces_257_v,Faces,7.06,4.28
Faces_258_h,Faces,6.5,4.77
Faces_259_v,Faces,6.02,4.88
Faces_260_h,Faces,7.14,4.71
Faces_261_v,Faces,6.94,5.25
Faces_262_h,Faces,6.71,4.73
Faces_263_v,Faces,7,4.29
Faces_267_v,Faces,5.69,5.47
Faces_276_h,Faces,5.48,4.9
Faces_277_h,Faces,4.77,6.58
Faces_278_h,Faces,4.46,5.33
Faces_279_h,Faces,3.94,5.64
Faces_281_h,Faces,4.5,5
Faces_282_h,Faces,6.45,5.94
Faces_283_h,Faces,2.48,7.26
Faces_285_h,Faces,3.29,6.1
Faces_286_h,Faces,5.09,5.96
Faces_287_h,Faces,3.13,6.65
Faces_288_h,Faces,3.51,5.92
Faces_289_h,Faces,4.69,5.22
Faces_290_h,Faces,2.77,6.27
Faces_294_h,Faces,3.1,6.06
Faces_295_h,Faces,6.02,6.35
Faces_296_h,Faces,3.64,5.76
Faces_297_h,Faces,5.24,6.57
Faces_299_h,Faces,4.35,6.48
Faces_301_h,Faces,4.57,4.96
Faces_302_h,Faces,3.02,6.13
Faces_303_h,Faces,3.15,5.89
Faces_304_h,Faces,6.9,5
Faces_305_h,Faces,4.93,4.98
Faces_306_v,Faces,5.41,4.8
Faces_307_v,Faces,5.98,4.38
Faces_308_h,Faces,5.76,5.16
Faces_309_h,Faces,5.25,4.84
Faces_310_v,Faces,6.48,4.54
Faces_311_h,Faces,5.43,4.76
Faces_312_h,Faces,5.04,4.63
Faces_313_h,Faces,6.61,5.53
Faces_314_h,Faces,6.49,5.4
Faces_315_h,Faces,5.69,4.46
Faces_316_h,Faces,6.72,5.18
Faces_317_v,Faces,5.96,4.64
Faces_318_v,Faces,6.06,4.49
Faces_319_v,Faces,5.83,4.51
Faces_320_v,Faces,5.06,4.98
Faces_321_h,Faces,7.34,6.21
Faces_322_v,Faces,6.8,5.38
Faces_323_h,Faces,6.8,4.76
Faces_324_h,Faces,7.14,4.15
Faces_325_v,Faces,7,5
Faces_326_h,Faces,6.63,4.56
Faces_327_v,Faces,6.55,4.47
Faces_328_v,Faces,6.36,4.85
Faces_329_h,Faces,6.19,5.35
Faces_331_h,Faces,6.6,4.54
Faces_332_v,Faces,6.91,5.18
Faces_333_h,Faces,7.02,4.1
Faces_334_h,Faces,6.56,5.06
Faces_335_h,Faces,6.23,4.63
Faces_336_h,Faces,5.66,4.75
Faces_337_h,Faces,7.11,4.28
Faces_338_h,Faces,6.23,4.83
Faces_339_h,Faces,6.29,4.53
Faces_340_h,Faces,7.29,4.97
Faces_341_h,Faces,6.02,4.54
Faces_342_h,Faces,7.13,5.45
Faces_343_h,Faces,6.1,4.22
Faces_344_h,Faces,6.83,4.5
Faces_346_v,Faces,7.67,4.28
Faces_347_h,Faces,7,5.74
Faces_348_h,Faces,6.69,5.63
Faces_349_h,Faces,7.18,5.1
Faces_350_h,Faces,7.48,4.39
Faces_351_h,Faces,7.56,4.31
Faces_352_h,Faces,7.17,5.61
Faces_353_h,Faces,7.42,4.76
Faces_354_v,Faces,7.41,4.77
Faces_355_h,Faces,6.08,4.57
Faces_356_h,Faces,7.65,5.34
Faces_357_v,Faces,7,4.37
Faces_358_h,Faces,7.49,4.15
Faces_359_h,Faces,6.73,5.45
Faces_360_v,Faces,6.86,4.9
Faces_361_v,Faces,7.09,5.82
Faces_370_h,Faces,3.69,6.25
Faces_372_h,Faces,3.76,5.72
Landscapes_003_v,Landscapes,4.06,5.94
Landscapes_004_h,Landscapes,3.1,5.75
Landscapes_005_h,Landscapes,3.13,6.66
Landscapes_006_h,Landscapes,3.92,4.98
Landscapes_007_h,Landscapes,2.93,6.33
Landscapes_008_h,Landscapes,7.4,4.41
Landscapes_009_h,Landscapes,6.46,4
Landscapes_010_h,Landscapes,3.29,5.33
Landscapes_011_h,Landscapes,3.52,5.63
Landscapes_012_h,Landscapes,4.4,4.62
Landscapes_013_v,Landscapes,4.35,5.07
Landscapes_014_h,Landscapes,3.33,5.51
Landscapes_015_h,Landscapes,4.59,4.94
Landscapes_016_h,Landscapes,5.13,4.09
Landscapes_017_h,Landscapes,3.21,5.89
Landscapes_018_h,Landscapes,6.19,4.24
Landscapes_019_h,Landscapes,5.18,4.31
Landscapes_020_h,Landscapes,4.65,5.02
Landscapes_021_h,Landscapes,7.6,3.73
Landscapes_022_h,Landscapes,2.75,6.85
Landscapes_023_h,Landscapes,6.66,4.49
Landscapes_024_v,Landscapes,4.8,4.36
Landscapes_025_h,Landscapes,3.73,6.1
Landscapes_026_h,Landscapes,2.48,6.41
Landscapes_027_v,Landscapes,4.43,5.36
Landscapes_028_h,Landscapes,3.83,5.19
Landscapes_029_v,Landscapes,3.3,6.04
Landscapes_030_v,Landscapes,3.85,5.46
Landscapes_031_h,Landscapes,5.59,4.47
Landscapes_032_v,Landscapes,4.29,5.32
Landscapes_033_h,Landscapes,4.52,5.42
Landscapes_034_h,Landscapes,7.04,4.23
Landscapes_035_v,Landscapes,7.55,3.9
Landscapes_036_h,Landscapes,5.2,4.88
Landscapes_037_v,Landscapes,5.87,3.98
Landscapes_038_h,Landscapes,7.25,3.65
Landscapes_039_v,Landscapes,3.53,5.51
Landscapes_040_h,Landscapes,5.89,4.57
Landscapes_041_h,Landscapes,6.81,4.13
Landscapes_042_h,Landscapes,5.98,4.35
Landscapes_043_h,Landscapes,4.8,5.11
Landscapes_044_h,Landscapes,5.13,4.46
Landscapes_045_h,Landscapes,4.1,5.8
Landscapes_046_h,Landscapes,5.91,3.16
Landscapes_047_v,Landscapes,6.49,5.02
Landscapes_048_h,Landscapes,6.74,3.37
Landscapes_049_h,Landscapes,7.24,2.88
Landscapes_050_h,Landscapes,6.87,2.98
Landscapes_051_h,Landscapes,6.29,4.06
Landscapes_052_h,Landscapes,6.53,4.71
Landscapes_053_h,Landscapes,6.46,4.52
